#lambda/nm	DC	C1
689.628	582	576.6
690.052	568.4	564.6
690.456	570.4	567
690.88	564	561
691.284	556	551
691.687	571.6	559.4
692.112	558.2	548.8
692.515	549.2	553.6
692.919	563.4	560.2
693.344	566.8	565.8
693.747	562.4	556.4
694.173	556	551.4
694.577	575.8	577.4
694.98	557.2	564.2
695.406	564	550.2
695.81	564.4	565.6
696.214	570.2	561.6
696.64	564.8	564.6
697.044	564.6	565.8
697.448	566	567.6
697.874	565.4	558
698.279	563.2	563.6
698.684	561	553.4
699.11	560.2	552.2
699.514	561	553.4
699.919	562.6	560.2
700.324	559.6	544.4
700.75	558.8	560.4
701.156	558.8	560.4
701.561	559.8	573.4
701.987	560.6	567.2
702.393	569.4	566.4
702.798	564	567.8
703.203	562.8	552.6
703.63	563	553.2
704.036	555.2	557.6
704.442	560.2	553.6
704.847	564	549.6
705.274	563.2	565
705.68	565.2	564.6
706.086	565.4	564.4
706.492	550.8	550.4
706.92	557.8	552.4
707.326	564	564
